lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2,weibull.max,weibull.adjust
SP,secchi_max,2002-07-30,2002,211,199.2039788031015,0.8494442734801235,TRUE,FALSE
SP,secchi_max,2003-08-20,2003,232,248.19144886456124,0.9423837536546139,TRUE,FALSE
SP,secchi_max,2004-09-29,2004,273,288.33878941833154,0.8587667525738691,FALSE,TRUE
SP,secchi_max,2005-06-13,2005,164,165.78672576768562,0.8710342808353085,TRUE,FALSE
SP,secchi_max,2006-07-12,2006,193,224.5680731338179,0.8330183695464591,FALSE,TRUE
SP,secchi_max,2007-07-30,2007,211,235.04831241317237,0.7716115914024941,TRUE,FALSE
SP,secchi_max,2008-09-08,2008,252,245.60527770913015,0.5801515800937707,TRUE,FALSE
SP,secchi_max,2009-07-22,2009,203,177.18041162818523,0.8663289179094598,TRUE,FALSE
SP,secchi_max,2010-08-17,2010,229,208.4470138682321,0.7753786636792963,TRUE,FALSE
SP,secchi_max,2011-09-06,2011,249,257.32283606455906,0.8401145451808861,TRUE,FALSE
SP,secchi_max,2012-07-25,2012,207,206.87427538780653,0.8075266056537089,TRUE,FALSE
SP,secchi_max,2014-08-25,2014,237,269.7210146192251,0.7696379945981746,TRUE,TRUE
SP,secchi_max,2015-10-07,2015,280,280.11844730129866,0.6570516241173405,TRUE,FALSE
SP,secchi_max,2016-08-02,2016,215,218.41574703573409,0.5598028470234683,TRUE,FALSE
SP,secchi_max,2017-08-21,2017,233,240.80259733236306,0.7284079802884136,TRUE,FALSE
SP,secchi_max,2018-08-07,2018,219,232.37552245918607,0.8287031571442431,TRUE,FALSE
SP,secchi_max,2019-10-07,2019,280,338.8501902068483,0.8254903674068363,TRUE,TRUE
TB,secchi_max,1982-08-19,1982,231,234.15332095680014,0.8759920075266054,TRUE,FALSE
TB,secchi_max,1983-09-08,1983,251,252.0323472558958,0.7945447727021835,TRUE,FALSE
TB,secchi_max,1984-08-15,1984,228,193.87299705525146,0.5004977544920306,TRUE,FALSE
TB,secchi_max,1985-09-09,1985,252,251.91299099183993,0.7409800419891737,TRUE,FALSE
TB,secchi_max,1986-10-06,1986,279,195.97019217141835,0.8371637124426049,FALSE,TRUE
TB,secchi_max,1987-09-24,1987,267,281.52125084520753,0.4356348697936381,FALSE,TRUE
TB,secchi_max,1988-09-28,1988,272,221.98381108483662,0.9067075013268141,FALSE,TRUE
TB,secchi_max,1989-05-29,1989,149,137.95574695513577,0.45963599330231886,TRUE,FALSE
TB,secchi_max,1990-08-08,1990,220,183.08991834657823,0.5999335076403322,TRUE,FALSE
TB,secchi_max,1991-07-18,1991,199,192.34657161089012,0.572573862819454,TRUE,FALSE
TB,secchi_max,1992-05-20,1992,141,141.02594273833182,0.6438938455920099,TRUE,FALSE
TB,secchi_max,1993-08-23,1993,235,267.26914080055246,0.4486593496640492,TRUE,TRUE
TB,secchi_max,1994-07-25,1994,206,207.62878334453742,0.8057444797600797,TRUE,FALSE
TB,secchi_max,1995-08-08,1995,220,254.00772799834075,0.36115082316681035,FALSE,TRUE
TB,secchi_max,1996-09-04,1996,248,248.58148023757434,0.488458258894403,TRUE,FALSE
TB,secchi_max,1997-08-11,1997,223,226.04061438067154,0.6227101631813707,TRUE,FALSE
TB,secchi_max,1998-08-10,1998,222,234.17761812574153,0.8086677051845654,TRUE,FALSE
TB,secchi_max,1999-06-14,1999,165,162.43926513616503,0.7636197163608245,TRUE,FALSE
TB,secchi_max,2000-06-26,2000,178,178.68523161221881,0.6262973860556044,TRUE,FALSE
TB,secchi_max,2001-08-21,2001,233,234.86018321091555,0.5772380210680201,TRUE,FALSE
TB,secchi_max,2002-07-31,2002,212,238.53533599699878,0.49603180299904426,TRUE,FALSE
TB,secchi_max,2003-05-27,2003,147,144.76034391436244,0.5703749363345963,TRUE,FALSE
TB,secchi_max,2004-09-10,2004,254,254.02618533685586,0.5690858125342195,TRUE,FALSE
