lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2
AL,iceon,1999-12-01,1999,335,NA,NA
AL,iceon,2000-11-20,2000,325,NA,NA
AL,iceon,2001-12-11,2001,345,NA,NA
AL,iceon,2002-11-18,2002,322,NA,NA
AL,iceon,2003-11-28,2003,332,NA,NA
AL,iceon,2004-12-13,2004,348,NA,NA
AL,iceon,2005-11-25,2005,329,NA,NA
AL,iceon,2006-12-01,2006,335,NA,NA
AL,iceon,2007-11-23,2007,327,NA,NA
AL,iceon,2008-11-25,2008,330,NA,NA
AL,iceon,2009-12-07,2009,341,NA,NA
AL,iceon,2010-11-27,2010,331,NA,NA
AL,iceon,2011-11-30,2011,334,NA,NA
AL,iceon,2012-12-07,2012,342,NA,NA
AL,iceon,2013-11-19,2013,323,NA,NA
AL,iceon,2014-11-21,2014,325,NA,NA
AL,iceon,2015-11-30,2015,334,NA,NA
AL,iceon,2016-12-12,2016,347,NA,NA
AL,iceon,2017-11-20,2017,324,NA,NA
AL,iceon,2018-11-16,2018,320,NA,NA
AL,iceon,2019-11-22,2019,326,NA,NA
AL,iceon,2020-11-27,2020,332,NA,NA
BM,iceon,1981-12-15,1981,349,NA,NA
BM,iceon,1982-12-07,1982,341,NA,NA
BM,iceon,1983-12-03,1983,337,NA,NA
BM,iceon,1984-11-21,1984,326,NA,NA
BM,iceon,1985-11-25,1985,329,NA,NA
BM,iceon,1986-11-18,1986,322,NA,NA
BM,iceon,1987-12-03,1987,337,NA,NA
BM,iceon,1988-12-01,1988,336,NA,NA
BM,iceon,1989-11-22,1989,326,NA,NA
BM,iceon,1990-12-05,1990,339,NA,NA
BM,iceon,1991-11-27,1991,331,NA,NA
BM,iceon,1992-11-30,1992,335,NA,NA
BM,iceon,1993-12-01,1993,335,NA,NA
BM,iceon,1994-12-09,1994,343,NA,NA
BM,iceon,1995-11-13,1995,317,NA,NA
BM,iceon,1996-11-25,1996,330,NA,NA
BM,iceon,1997-11-24,1997,328,NA,NA
BM,iceon,1998-12-23,1998,357,NA,NA
BM,iceon,1999-12-17,1999,351,NA,NA
BM,iceon,2000-12-04,2000,339,NA,NA
BM,iceon,2001-12-26,2001,360,NA,NA
BM,iceon,2002-11-27,2002,331,NA,NA
BM,iceon,2003-12-03,2003,337,NA,NA
BM,iceon,2004-12-17,2004,352,NA,NA
BM,iceon,2005-12-03,2005,337,NA,NA
BM,iceon,2006-12-05,2006,339,NA,NA
BM,iceon,2007-12-03,2007,337,NA,NA
BM,iceon,2008-12-03,2008,338,NA,NA
